epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,150.685,2.04614,2.41216,1.38006,0.91882,0.3316,0.49394,0.29802,1.5705,2.15577,1.07439,0.000409483,0.000409483,0.000409483
2,315.705,1.50704,1.19593,1.0649,0.68691,0.66284,0.69692,0.45675,1.37879,1.29158,1.014,0.000809792,0.000809792,0.000809792
3,473.931,1.45745,1.06849,1.02805,0.75231,0.7403,0.7495,0.49245,1.32524,1.01001,0.989,0.0011936,0.0011936,0.0011936
4,628.034,1.33383,0.98801,0.99845,0.76832,0.7082,0.75887,0.50796,1.25624,0.97318,0.98209,0.00117575,0.00117575,0.00117575
5,777.004,1.28774,0.93852,0.99766,0.79147,0.71096,0.762,0.5177,1.20204,0.89992,0.97478,0.001151,0.001151,0.001151
6,906.317,1.20865,0.85773,0.972,0.75746,0.76338,0.76762,0.51579,1.26112,0.90188,0.95642,0.00112625,0.00112625,0.00112625
7,1051.33,1.19597,0.84829,0.9709,0.80269,0.7647,0.7933,0.53936,1.14275,0.80131,0.94363,0.0011015,0.0011015,0.0011015
8,1175.39,1.14157,0.80097,0.95271,0.78272,0.77984,0.80635,0.56647,1.08179,0.75122,0.93343,0.00107675,0.00107675,0.00107675
9,1321.94,1.13956,0.78332,0.95114,0.82537,0.80874,0.82421,0.5817,1.10113,0.74621,0.92745,0.001052,0.001052,0.001052
10,1476.38,1.19497,0.81043,0.95594,0.79772,0.78337,0.80193,0.55309,1.22878,0.84353,0.92915,0.00102725,0.00102725,0.00102725
11,1615.34,1.14366,0.76435,0.94572,0.82021,0.80382,0.82439,0.60037,1.05504,0.74161,0.93,0.0010025,0.0010025,0.0010025
